A1KV2VPZ1TE6AJ:3OLF68YTNCTUHF8GKUOA7J45O4XFA4,initialized,0,,1563473063264
A1KV2VPZ1TE6AJ:3OLF68YTNCTUHF8GKUOA7J45O4XFA4,window_resize,0,"[1853, 1117]",1563473063264
A12V3KOVU7QSUC:39ZSFO5CABOU1Q8A9PWMMI8ROE6JUN,initialized,0,,1563473226750
A12V3KOVU7QSUC:39ZSFO5CABOU1Q8A9PWMMI8ROE6JUN,window_resize,0,"[1680, 911]",1563473226750
A12V3KOVU7QSUC:39ZSFO5CABOU1Q8A9PWMMI8ROE6JUN,focus,117864,off,1563473344614
A12V3KOVU7QSUC:39ZSFO5CABOU1Q8A9PWMMI8ROE6JUN,focus,3457,on,1563473348071
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,initialized,0,,1563473115687
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,window_resize,0,"[1631, 886]",1563473115687
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,616,on,1563473116303
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,window_resize,417,"[1374, 886]",1563473116720
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,22087,off,1563473138807
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,4,on,1563473138811
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,85588,off,1563473224399
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,0,on,1563473224399
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,26028,off,1563473250427
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,1,on,1563473250428
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,37573,off,1563473288001
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,1,on,1563473288002
A2EHH2ZFIRF1BF:308Q0PEVBB50MN01TWK583RHVLNI9L,initialized,0,,1563474594490
A2EHH2ZFIRF1BF:308Q0PEVBB50MN01TWK583RHVLNI9L,window_resize,1,"[1366, 677]",1563474594491
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,initialized,0,,1563474819009
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,window_resize,0,"[1920, 1027]",1563474819009
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,47243,off,1563474866252
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,2529,on,1563474868781
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,18926,off,1563474887707
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,1021,on,1563474888728
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,0,on,1563474888728
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,49961,off,1563474938689
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,1723,on,1563474940412
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,2136,off,1563474942548
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,688,on,1563474943236
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,30209,off,1563474973445
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,925,on,1563474974370
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,102758,off,1563475077128
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,815,on,1563475077943
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,window_resize,75976,"[1920, 1036]",1563475153919
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,window_resize,2978,"[1920, 1027]",1563475156897
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,162,off,1563475157059
A2T11H7YI7QPGD:3VNL7UK1XIBZWB7PQUJ1W6F190YFTR,focus,12152,on,1563475169211
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,initialized,0,,1563477737906
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,window_resize,12,"[1366, 724]",1563477737918
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,window_resize,57291,"[1366, 677]",1563477795209
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,31880,off,1563477827089
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1692,on,1563477828781
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1,on,1563477828782
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,13163,off,1563477841945
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,2071,on,1563477844016
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1,on,1563477844017
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,15346,off,1563477859363
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1712,on,1563477861075
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,8200,off,1563477869275
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1296,on,1563477870571
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,50692,off,1563477921263
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,8437,on,1563477929700
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1193,off,1563477930893
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,64323,on,1563477995216
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,15955,off,1563478011171
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1160,on,1563478012331
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,25567,off,1563478037898
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1252,on,1563478039150
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,43525,off,1563478082675
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1154,on,1563478083829
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,0,on,1563478083829
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,31729,off,1563478115558
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1,on,1563478115559
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,29435,off,1563478144994
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1004,on,1563478145998
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,191481,off,1563478337479
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,98272,on,1563478435751
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,282983,off,1563478718734
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,28263,on,1563478746997
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,9606,off,1563478756603
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,2907,on,1563478759510
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1,on,1563478759511
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,3707,off,1563478763218
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,1208,on,1563478764426
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,29394,off,1563478793820
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,48665,on,1563478842485
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,128763,off,1563478971248
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,26467,on,1563478997715
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,6085,off,1563479003800
A1GJUZLR45D5MP:37Q970SNZH07RW02UVZQXZFL671S1E,focus,873,on,1563479004673
